Accession,Virus_Name,Species,Country,Date
FN999911.1|SAFV-2|Cardiovirus_saffoldi|Netherlands|2008,SAFV-2,Cardiovirus saffoldi,Netherlands,2008
JN652232.1|SAFV-2|Cardiovirus_saffoldi|USA|2005,SAFV-2,Cardiovirus saffoldi,USA,2005
JN652233.1|SAFV-2|Cardiovirus_saffoldi|USA|2005,SAFV-2,Cardiovirus saffoldi,USA,2005
JN652231.1|SAFV-2|Cardiovirus_saffoldi|USA|2005,SAFV-2,Cardiovirus saffoldi,USA,2005
EU681176.2|SAFV-2|Cardiovirus_saffoldi|Germany|NA,SAFV-2,Cardiovirus saffoldi,Germany,NA
JX163901.1|SAFV-2|Cardiovirus_saffoldi|Australia|2011,SAFV-2,Cardiovirus saffoldi,Australia,2011
AB747254.1|SAFV-7|Cardiovirus_saffoldi|Pakistan|2009,SAFV-7,Cardiovirus saffoldi,Pakistan,2009
AB747253.1|SAFV-6|Cardiovirus_saffoldi|Pakistan|2009,SAFV-6,Cardiovirus saffoldi,Pakistan,2009
FJ463617.1|SAFV-6|Cardiovirus_saffoldi|Pakistan|2007,SAFV-6,Cardiovirus saffoldi,Pakistan,2007
NC_010810.1|SAFV-2|Cardiovirus_saffoldi|NA|NA,SAFV-2,Cardiovirus saffoldi,NA,NA
JF813004.1|SAFV-2|Cardiovirus_saffoldi|Canada|2007,SAFV-2,Cardiovirus saffoldi,Canada,2007
AM922293.1|SAFV-2|Cardiovirus_saffoldi|Canada|2006,SAFV-2,Cardiovirus saffoldi,Canada,2006
GU595289.1|SAFV-2|Cardiovirus_saffoldi|USA|2001,SAFV-2,Cardiovirus saffoldi,USA,2001
AB747258.1|SAFV-11|Cardiovirus_saffoldi|Pakistan|2009,SAFV-11,Cardiovirus saffoldi,Pakistan,2009
FJ463616.1|SAFV-5|Cardiovirus_saffoldi|Pakistan|2007,SAFV-5,Cardiovirus saffoldi,Pakistan,2007
AB747252.1|SAFV-5|Cardiovirus_saffoldi|Pakistan|2009,SAFV-5,Cardiovirus saffoldi,Pakistan,2009
FJ463615.1|SAFV-5|Cardiovirus_saffoldi|Pakistan|2007,SAFV-5,Cardiovirus saffoldi,Pakistan,2007
AB747256.1|SAFV-9|Cardiovirus_saffoldi|Pakistan|2009,SAFV-9,Cardiovirus saffoldi,Pakistan,2009
AB747249.1|SAFV-2|Cardiovirus_saffoldi|Pakistan|2009,SAFV-2,Cardiovirus saffoldi,Pakistan,2009
EU681177.2|SAFV-2|Cardiovirus_saffoldi|Germany|NA,SAFV-2,Cardiovirus saffoldi,Germany,NA
AB747255.1|SAFV-8|Cardiovirus_saffoldi|Pakistan|2009,SAFV-8,Cardiovirus saffoldi,Pakistan,2009
GU943513.1|SAFV-3|Cardiovirus_saffoldi|China|2008,SAFV-3,Cardiovirus saffoldi,China,2008
AB983595.1|SAFV-3|Cardiovirus_saffoldi|Japan|NA,SAFV-3,Cardiovirus saffoldi,Japan,NA
HQ902242.1|SAFV-3|Cardiovirus_saffoldi|Japan|2008,SAFV-3,Cardiovirus saffoldi,Japan,2008
AB983594.1|SAFV-3|Cardiovirus_saffoldi|Japan|2008,SAFV-3,Cardiovirus saffoldi,Japan,2008
MK139484.1|SAFV-3|Cardiovirus_saffoldi|Vietnam|2014,SAFV-3,Cardiovirus saffoldi,Vietnam,2014
KP972594.1|SAFV-3|Cardiovirus_saffoldi|Peru|2012,SAFV-3,Cardiovirus saffoldi,Peru,2012
FM207487.1|SAFV-3|Cardiovirus_saffoldi|Netherlands|2007,SAFV-3,Cardiovirus saffoldi,Netherlands,2007
GU943514.1|SAFV-3|Cardiovirus_saffoldi|China|2009,SAFV-3,Cardiovirus saffoldi,China,2009
HQ162476.1|SAFV-3|Cardiovirus_saffoldi|Malaysia|2009,SAFV-3,Cardiovirus saffoldi,Malaysia,2009
HM181997.1|SAFV-3|Cardiovirus_saffoldi|Netherlands|2004,SAFV-3,Cardiovirus saffoldi,Netherlands,2004
HM181998.1|SAFV-3|Cardiovirus_saffoldi|Netherlands|2004,SAFV-3,Cardiovirus saffoldi,Netherlands,2004
HM181999.1|SAFV-3|Cardiovirus_saffoldi|Netherlands|2005,SAFV-3,Cardiovirus saffoldi,Netherlands,2005
EU681179.2|SAFV-3|Cardiovirus_saffoldi|Germany|NA,SAFV-3,Cardiovirus saffoldi,Germany,NA
EU681178.2|SAFV-3|Cardiovirus_saffoldi|Germany|NA,SAFV-3,Cardiovirus saffoldi,Germany,NA
HM181996.1|SAFV-3|Cardiovirus_saffoldi|Netherlands|1998,SAFV-3,Cardiovirus saffoldi,Netherlands,1998
AB747257.1|SAFV-10|Cardiovirus_saffoldi|Pakistan|2009,SAFV-10,Cardiovirus saffoldi,Pakistan,2009
GU943518.1|SAFV-2|Cardiovirus_saffoldi|China|2009,SAFV-2,Cardiovirus saffoldi,China,2009
FR682076.2|SAFV-2|Cardiovirus_saffoldi|Finland|2008,SAFV-2,Cardiovirus saffoldi,Finland,2008
MZ384007.1|SAFV-6|Cardiovirus_saffoldi|Malaysia|2020,SAFV-6,Cardiovirus saffoldi,Malaysia,2020
Hlawaga-18|Myanmar|2018,Study_Isolate,Study Sample,Myanmar,2018
AB090161.1|TRV|Cardiovirus_theileri|NA|NA,TRV,Cardiovirus theileri,NA,NA
EU542581.1|TRV|Cardiovirus_theileri|USA|NA,TRV,Cardiovirus theileri,USA,NA
EU815052.1|TRV|Cardiovirus_theileri|USA|2006,TRV,Cardiovirus theileri,USA,2006
MH976711.1|RCV|Cardiovirus_theileri|China|2017,RCV,Cardiovirus theileri,China,2017
MF352411.1|RCV|Cardiovirus_theileri|China|2012,RCV,Cardiovirus theileri,China,2012
MF352420.1|RCV|Cardiovirus_theileri|China|2012,RCV,Cardiovirus theileri,China,2012
